No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"ice rink","navigational","90,500","$0.63","3","66"
2,"ice rink ice","navigational","110,000","$1.04","2","61"
3,"ice rink in new york",null,"27,100","$1.65","4","15"
4,"ice rink central park","navigational","18,100","$1.19","19","59"
5,"ice rink chicago","navigational, commercial","18,100","$0.84","2","56"
6,"ice rink outside",null,"18,100","$3.70","40","31"
7,"ice rink rockefeller","informational, navigational","9,900","$4.38","16","35"
8,"ice rink at rockefeller center",null,"8,100","$2.60","38","19"
9,"ice rink san francisco","navigational, commercial","6,600","$0.75","2","42"
10,"ice rink vegas","navigational, commercial","6,600","$0.75","2","32"
11,"ice rink austin","navigational","5,400","$0.98","5","38"
12,"ice rink dallas","navigational, commercial","5,400","$1.23","3","23"
13,"ice rink philadelphia","navigational, commercial","5,400","$0.29","3","34"
14,"ice rink rentals","navigational","4,400","$8.41","26","17"
15,"ice rink houston","navigational, commercial","4,400","$1.39","3","44"
16,"ice rink prices","navigational, commercial","4,400","$1.93","9","35"
17,"ice rink san diego","navigational, commercial","4,400","$1.79","4","36"
18,"ice rink for rent","navigational","3,600","$8.48","24","19"
19,"ice rink orlando","navigational, commercial","3,600","$0.38","9","27"
20,"ice rink union square","navigational, commercial","3,600","$0.00","4","28"
21,"ice rink louisville ky","navigational, commercial","2,900","$2.54","2","25"
22,"ice rink portland","navigational, commercial","2,900","$0.47","14","36"
23,"ice rink at cosmopolitan","navigational, informational, commercial","2,400","$1.91","1","35"
24,"ice rink at the long center","navigational, commercial","2,400","$0.00","2","25"
25,"ice rink backyard","navigational, commercial","2,400","$1.80","100","33"
26,"ice rink for yard","navigational, transactional, commercial","2,400","$0.46","83","35"
27,"ice rink janesville",null,"2,400","$0.00","4","15"
28,"ice rink georgetown","navigational, commercial","1,900","$0.00","1","32"
29,"ice rink breckenridge","navigational, commercial","1,900","$0.40","4","28"
30,"ice rink jacksonville","navigational, commercial","1,900","$0.91","4","39"
31,"ice rink chiller","transactional, navigational","1,600","$0.76","36","16"
32,"ice rink christmas village","commercial, navigational","1,600","$0.27","75","32"
33,"ice rink eugene","navigational, commercial","1,600","$0.00","1","21"
34,"ice rink greensboro nc","navigational, commercial","1,600","$0.23","1","22"
35,"ice rink nyc central park",null,"1,600","$0.00","13","9"
36,"ice rink uiuc","navigational","1,600","$0.00","1","30"
37,"ice skating xmas","commercial, navigational, informational","1,600","$0.25","15","42"
38,"ice rink west palm beach",null,"1,600","$0.67","19","11"
