No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"roller rinks",null,"33,100","$0.64","4","57"
2,"roller rink","navigational","33,100","$0.67","3","58"
3,"rolling rinks near me","navigational","60,500","$0.52","8","57"
4,"roller rink new york",null,"8,100","$3.62","4","9"
5,"roller rink florham park","commercial, navigational","4,400","$0.00","1","40"
6,"ringer's roller rink","navigational, commercial","3,600","$1.10","7","28"
7,"roller rink las vegas","navigational, commercial","3,600","$2.13","12","38"
8,"roller rink dallas","navigational, commercial","3,600","$2.68","3","38"
9,"roller rink in las vegas",null,"3,600","$1.20","12","10"
10,"roller rinks las vegas","navigational, commercial","2,900","$6.21","11","4"
11,"roller rink brooklyn","navigational, commercial","2,900","$0.34","6","38"
12,"roller rink in brooklyn","navigational, commercial","2,900","$0.54","8","39"
13,"roller rinks houston",null,"1,900","$0.00","2","14"
14,"roller rinks in houston","navigational, commercial","1,600","$1.48","4","37"
15,"roller rink tampa",null,"1,600","$0.35","17","19"
16,"roller rink houston","navigational, commercial","1,600","$1.96","4","36"
17,"roller rink in nj","navigational, commercial","1,600","$0.42","2","47"
18,"roller rink in los angeles",null,"1,600","$0.00","1","6"
19,"roller rink phoenix","navigational, commercial","1,600","$0.63","28","25"
20,"roller rink raleigh","navigational, commercial","1,600","$0.00","1","25"
21,"roller rink glendale","navigational, commercial","1,300","$0.14","1","48"
22,"lynwood roller rink","navigational, commercial","1,300","$0.00","1","34"
23,"roller rink el paso","navigational, commercial","1,300","$1.40","1","16"
24,"roller rink minneapolis","navigational, commercial","1,300","$1.58","2","32"
25,"roller rink okc","navigational, commercial","1,300","$0.70","5","39"
26,"roller rink portland","navigational, commercial","1,300","$5.80","11","45"
27,"roller rink san jose","navigational, commercial","1,300","$0.95","6","25"
28,"roller rink fresno","navigational, commercial","1,000","$0.48","10","33"
29,"roller skating 80s","commercial, navigational","1,000","$0.20","45","29"
30,"roller rink lewisville","navigational, commercial","1,000","$4.04","5","28"
31,"roller rink santa cruz","navigational, commercial","1,000","$0.98","1","32"
32,"roller rink el paso tx",null,"1,000","$0.00","4","7"
33,"roller rink indianapolis","navigational, commercial","1,000","$1.06","25","38"
34,"roller rink jackson nj","navigational, commercial","880","$0.42","14","24"
35,"roller rink tulsa","navigational, commercial","880","$0.61","11","16"
36,"roller skating 4 wheels",null,"880","$0.52","91","33"
37,"roller rink columbus ohio","navigational, commercial","880","$1.07","16","24"
38,"roller skating raleigh","commercial, navigational","880","$0.73","13","23"
39,"roller rink st louis","navigational, commercial","880","$1.57","8","28"
