No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"skate park",null,"301,000","$4.67","3","48"
2,"skate parks near me",null,"201,000","$8.33","4","31"
3,"skate park venice beach","commercial, informational","22,200","$0.58","17","43"
4,"skate park indoor near me",null,"18,100","$5.69","3","11"
5,"skate park denver","navigational, commercial","6,600","$1.05","10","18"
6,"skate park riverside","commercial, navigational","4,400","$0.91","5","37"
7,"pier 62 skatepark","informational, navigational, commercial","3,600","$0.97","11","33"
8,"skate park orlando","commercial, navigational","2,900","$0.76","4","31"
9,"skate parks nyc",null,"2,400","$0.00","1","14"
10,"skate park nyc","navigational, commercial","1,900","$0.10","1","45"
11,"skate park in la",null,"1,900","$0.00","1","5"
12,"skate park san diego","navigational, commercial","1,900","$0.08","1","36"
13,"skate park tampa",null,"1,600","$0.74","9","16"
14,"skate park phet","navigational, commercial","1,600","$0.00","1","19"
15,"skate park houston","navigational, commercial","1,600","$0.65","3","32"
16,"skate park near","navigational, informational","1,300","$10.05","2","27"
17,"skate park des moines","navigational, commercial","1,300","$1.49","1","32"
18,"skate park austin","navigational, commercial","1,300","$1.64","3","20"
19,"skate park louisville ky","commercial, navigational","1,300","$0.00","1","25"
20,"skate park las vegas","commercial, navigational","1,300","$2.51","2","20"
21,"skate park portland",null,"1,300","$0.00","2","14"
22,"skate park chicago","navigational, commercial","1,000","$17.52","2","30"
23,"skate park asheville","navigational, commercial","1,000","$0.67","5","27"
24,"skate park chattanooga","commercial, navigational","1,000","$0.00","6","18"
25,"skate park in miami","navigational, informational","1,000","$0.00","1","5"
26,"skate park kennesaw","commercial, navigational","1,000","$0.00","5","19"
27,"skate park san francisco","commercial, navigational","1,000","$0.00","2","21"
28,"skate park atlanta","navigational, commercial","880","$0.50","2","21"
29,"skatepark ashtray","transactional, commercial","880","$0.10","96","29"
30,"skate park boston","navigational, commercial","880","$0.00","1","20"
31,"skate park charlotte nc","commercial, navigational","880","$0.07","1","25"
32,"skate park dallas","commercial, navigational","880","$1.01","2","15"
33,"skate park durham","commercial","880","$0.00","6","19"
34,"skate park gainesville fl","commercial, navigational","880","$0.00","3","18"
35,"skate park miami","commercial, navigational","880","$0.50","4","31"
36,"skate park nj","navigational, commercial","880","$26.27","1","35"
37,"skate park of baltimore","navigational, commercial","880","$0.00","5","21"
38,"skate park seattle","commercial, navigational","880","$2.58","2","18"
39,"skate park ymca","navigational, informational","880","$0.49","3","29"
40,"skate park around me","navigational, informational, commercial","720","$0.24","2","41"
41,"skate park ann arbor","commercial, navigational","720","$1.47","6","23"
42,"skate park frederick md","commercial, navigational","720","$0.54","4","15"
43,"skate park long beach","commercial, navigational","720","$0.00","4","22"
44,"skate park madison","commercial, navigational","720","$0.54","6","29"
45,"skate park near me open now","informational, navigational","720","$1.02","1","35"
46,"skate park nashville","navigational, commercial","720","$1.04","1","29"
47,"skate park phoenix","commercial, navigational","720","$0.43","2","22"
48,"skate park raleigh","commercial, navigational","720","$0.83","3","18"
49,"skate park richmond va","commercial, navigational","720","$0.04","1","26"
50,"skate park st louis","commercial, navigational","720","$1.36","3","31"
51,"skate park santa cruz","commercial, navigational","720","$0.05","1","19"
52,"skate park wilmington nc","commercial, navigational","720","$0.00","3","19"
53,"skate park bowl","commercial, navigational","590","$0.00","1","27"
54,"skate park brooklyn","commercial, navigational","590","$0.64","1","42"
55,"skate park colorado springs","commercial, navigational","590","$0.00","1","17"
